"Slot","Name","Cost","Color","Melee/Ranged","Type","Subtype","Effectiveness (0-4 = common, 5-8 = uncommon, 9-10 = rare)","Rules","Flavor","Attack Power","Health","Image","Artist","Notes",,"Name Size","Subtype Size","Has PH","Color Calculator","Iconified Cost","Iconified Rules","Italicized Type","Setted Slot",,
"YC_011","Space Tether","1Y",#NAME?,"Melee","Asset","Space-corp <u>Spacecraft</u>","3","<center><u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)</center><p>[T]: Choose an asset on the battlefield, set it aside then return it to the battlefield at the end of the turn. That asset and ~ each have a 25% change to be <u>forfeited</u> (Put the specified asset into its owner's discard pile.)</p>","Tethers act as batteries for kinetic energy. Spending some to slingshot ships to the far corners of the solar system; gaining some when an incoming ship arrives.",0,4,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_011",,
"YC_012","EDV","3YY",#NAME?,"Ranged","Asset","Space-corp <u>Response</u> <u>Vehicle</u>","4","<center><u>Airdrop</u> (It enters the battlefield as soon as it resolves.), <u>Response</u> (~ can be deployed during response phases.), <u>Vehicle</u></center>",,3,3,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_012",,
"Y_CMDR_2","Quinton Anon, Voice of the People","1YY",#NAME?,"Melee","Commander","Augmented Male Leader","5","<center>(Becomes <i>'Quinton's Call to Action'</i> if you already control ~@.)<br/><u>Warrant</u></center><p><b><i>As Commander</i> --</b> Combatants you control have <u>mob</u> (You may assign any number of mob combatants you control to a unit. )</p><p><b><i>As Asset</i> --</b> Mobs you control have +2/+2.</p>","""The corruption oozing through our society flows from the top like a cancer..""",4,6,,,"Flavor linked with Samuel Reid",,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_Y_CMDR_2",,
"Y_CMDR_2b","Quinton's Call to Action","Y",#NAME?,,"R. Effect","<u>Personal</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose a combatant, it permanently gets +1/+1 and brutal.</p><p><u>Personal</u> (Shuffle <i>'Quinton Anon, The Inciter of Violence'</i> into your deck.</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_Y_CMDR_2b",,
"YR_005","Marina Arrigotti, Femme Fatale","3Y",#NAME?,"Melee","R. Asset","Human Female Civilian Prostitute Operative","9","<center>(If you obtain another card with the same name as ~, you must choose one to keep and another to send to its owner's discard pile. Becomes <i>'Marina's Charm'</i> if you already control ~.)</center><p>When ~@ enters the battlefield, choose a human; until she leaves the battlefield, gain control of it.</p>","""There is no weapon more dangerous than a beautiful woman in a room full of powerful men. Well boys.. I'm here.""",4,4,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_YR_005",,
"YR_005b","Marina's Charm","Y",#NAME?,,"R. Effect","<u>Personal</u> <u>Response</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose a combatant an opponent controls, until end of turn, gain control of it.</p><p><u>Personal</u> (Shuffle <i>'Marina Arrigotti, Femme Fatale'</i> into your deck.)</p>",,,,,,,,60,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_YR_005b",,
"YR_006","Violent Mob","3YY",#NAME?,"Melee","R. Asset","Augmented <u>Mob</u> Propagandist","9","<center><u>Mob</u> (You may assign any number of mob combatants you control to a unit. )</center><p>If an opponent's commander would lose loyalty outside of combat, they loose twice as much loyalty instead.</p>",,8,6,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_YR_006",,
"YR_007","Eccentric Celebrity","YYY",#NAME?,"Melee","Asset","Augmented Civilian Leader","9","When ~ enters the battlefield, create a <u>transient</u> copy of a random Emotion ([Y]) effect in your deck with <u>generalized cost</u> (The cost of the card if all typed symbols were replaced with generic numbers. Ex ~ has a generalized cost of [3].) [4] or less in your hand.",,4,2,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YR_007",,
"YR_008","Grief","1YYY",#NAME?,,"R. Effect","Emotion <u>Response</u>","9","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Each asset on the battlefield has a 50% chance of being <u>forfeited</u> (Their owners put the specified assets into their discard piles.)</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_YR_008",,
"YU_009","Armed Mob","1YY",#NAME?,"Ranged","Asset","Human Civilian <u>Mob</u>","5","<u>Mob</u> (You may assign any number of mob combatants you control to a unit. )",,6,6,,,,,60,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_009",,
"YU_010","Growing Mob","YY",#NAME?,"Melee","Asset","Human Civilian <u>Mob</u>","6","<center><u>Mob</u> (You may assign any number of mob combatants you control to a unit. )</center><p>~'s attack power is equal to twice the number of cards named ~ that have been deployed this game.</p>",,"*",3,,,,,60,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_010",,
"YU_011","Angry Customer","Y",#NAME?,"Melee","Asset","Human Female Civilian","5","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p><u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: it deals 3 damage to an asset or player of your choice.</p>",,2,1,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_011",,
"YU_012","Charm","1YY",#NAME?,,"Effect",,"6","<center><u>Append to Combatant [3][Y][Y]</u> (As you deploy a combatant you may reveal ~ and pay [3][Y][Y]. If you do add this card's effects as it resolves; it loses those effects once it leaves the stack.)</center><p>Choose a combatant an opponent controls; until end of turn, gain control of it.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_012",,
"YU_013","Stacked Deck","2Y",#NAME?,,"Effect","<u>Response</u>","6","<center><u>Advantageous</u> (When ~ resolves, draw a card.)</center><p>Choose a card on the stack, replace it with the top card of its controller's deck.</p>","""I've never lost a fair game..""",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_013",,
"YU_014","Mulligan","2Y",#NAME?,,"Effect","Trap <u>Response</u>","6","<p>If an opponent searched their deck for a card this turn, ~ costs [Y] less.</p><p>Each player shuffles their hand into their deck, then draws that many cards plus one.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_014",,
"YU_015","Wrist Mounted Flamethrower","2Y",#NAME?,,"Asset","Flamethrower","6","<p>When ~ enters the battlefield, attach it to a combatant of your choice.</p><p>The attached combatant has <u>+X/+0</u> (X is the number of combatants that have attacked this turn.) and <u>sluggish</u> (The specified asset deals combat damage after assets without sluggish.)</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YU_015",,
"YU_016","Happiness","3YY",#NAME?,,"Effect","Emotion <u>Response</u>","5","Each combatant on the battlefield has the lower of its attack power or healthed permanently increased to match the greater. (This is not a continuous effect.)",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YU_016",,
"YC_013","Angry Mob","1Y",#NAME?,"Melee","Asset","Human Civilian <u>Mob</u>","2","<center><u>Mob</u> (You may assign any number of mob combatants you control to a unit. )</center>",,4,4,,,,,60,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_013",,
"YC_014","Ruined Plan","1Y",#NAME?,,"Effect","<u>Response</u>","2","<center><u>Advantageous</u> (When ~ resolves, draw a card.)</center><p>Choose a player, ~ deals 3 damage to their commander for each card they control on the stack.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_014",,
"YC_015","Fear","2_","Multicolor",,"Effect","Emotion <u>Response</u>","3","<center>([_] can be paid with [R] or [Y].)</center><p>Until end of turn, each combatant on the battlefield gains <u>terrified</u> (They lose all effects.)</p>",,,,,,,,60,50,#NAME?,"Red Yellow",#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_015",,
"YC_016","Anger","2Y",#NAME?,,"Effect","Emotion <u>Response</u>","3","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>~ deals 3 damage to each combatant on the battlefield.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_YC_016",,
"YC_017","School Boy","Y",#NAME?,"Melee","Asset","Human Male Civilian Student","1",,,4,2,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_017",,
"YC_018","Upset Citizenry","1YY",#NAME?,"Melee","Asset","Human Civilian <u>Mob</u>","1","<center><u>Mob</u> (You may assign any number of mob combatants you control to a unit. )</center>",,4,4,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_018",,
"YC_019","Unpeaceful Protesters","3Y",#NAME?,"Melee","Asset","Human Civilian <u>Mob</u>","3","<center><u>Mob</u> (You may assign any number of mob combatants you control to a unit. )</center><p>When ~ enters the battlefield, they deal 5 damage to each player who doesn't control a Mob.</p>",,5,5,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_YC_019",,
"YC_020","YC_020",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_YC_020",,
"YC_021","YC_021",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_YC_021",,
"YC_022","YC_022",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_YC_022",,
"YC_023","YC_023",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_YC_023",,
"YC_024","YC_024",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_YC_024",,
"G_CMDR_1","L.O.K.I.O, Logistics AI","2GG",#NAME?,,"Commander","AI Advisor","10","<center>(Becomes <i>'Peace in Troubled Times'</i> if you already control ~.)</center><p><b><i>As Commander</i> --</b> Whenever you have the option to hire a card as a generator, you may instead return a generator you control to your hand.</p><p><b><i>As Asset</i> --</b> Each time ~@ has seen you hire 2 cards as generators, draw a card.</p><p>If ~@ is inside a vehicle it gains, ""[T]: Choose an asset; utilize or refresh it.""</p>","""Delivery success rates have declined by 13%.""",,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_G_CMDR_1",,
"G_CMDR_1b","Peace in Troubled Times","3GG",#NAME?,,"R. Effect","<u>Personal</u> <u>Response</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Each commander's loyalty is doubled, up to their starting loyalty.</p><p>Prevent all damage that would be dealt this turn.</p><p><u>Personal</u> (Shuffle <i>'L.O.K.I.O, Logistics AI'</i> into your deck.)</p>","""Intake rates at all our hospitals have increased by 32% on average over the past week.""",,,,,,,50,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_G_CMDR_1b",,
"GR_001","Reuse","2G",#NAME?,,"Effect",,"10","<center>Choose a card in your discard pile; return it to your hand.</center>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GR_001",,
"GR_002","Preorder","1GG",#NAME?,,"Effect",,10,"Search your deck for a card, then shuffle your deck and put that card third from the top.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GR_002",,
"GR_003","High-Explosive Grenade","GG",#NAME?,,"Asset","Grenade",10,"<p>When ~ enters the battlefield, you may attach it to a combatant.</p><p><u>Throw</u> (Activate this ability only if attached to a combatant.),<u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Choose a combatant; Return that combatant to its owner's hand it permanently gains -2/-2. ~ deals 2 damage to each combatant adjacent to the chosen combatant.</p><p><u>Forfeit</u> ~: Add [G][G][G][G].</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GR_003",,
"GR_004","Life-Support Equipment","2GG",#NAME?,,"Asset","Equipment",10,"<p>When ~ enters the battlefield, attach it to a Human combatant on the battlefield or in a discard pile. ~ isn't removed when the combatant enters a discard.</p><p>Whenever the attached combatant enters a discard, return it to the battlefield with ""this card can't attack or intercept"" and ""at the beginning of your turn, remove this card from the game unless you pay its cost.""</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GR_004",,
"GU_001","Bottom of the Bin","2G",#NAME?,,"Effect"," ","5","<center>Put the bottom 2 cards of your deck into your hand.</center>","""The best compost is always on the bottom."" <p>-- Keith, Tower Gardener</p>","","",,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GU_001",,
"GU_002","Forklift","3G",#NAME?,"Melee","Asset","<u>Vehicle</u>","5","<center><u>Vehicle</u> (When ~ enters the battlefield, you may choose another asset to attach it to. The combined unit has all effects of both assets, and the highest attack power, health, and ranged status of the two.)</center>",,4,8,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_002",,
"GU_003","Agricultural Intern","2G",#NAME?,"Melee","Asset","Human Civilian Intern","5","<center><u>Quick Hire</u></center><p>[T]: Add [G] to your energy bank.</p><p>[3], [T]: Add 1 energy of each type a generator you control could produce to your energy bank.</p><p><u>Twice</u> (As you activate this effect for the second time, remove it from this card), [T]: Choose a combatant; <u>fully Heal</u> (Remove all attack power and health reductions, and all damage from the specified asset.) it.</p>",,2,2,,,,,50,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_003",,
"GU_004","Abundant Harvest","1GG",#NAME?,,"Effect","<u>Response</u>","5","<center>~ costs [1] less to deploy if you didn't go first.</center><p>Create an <i>'Overflowing Garden'</i> on the battlefield.</p>",,,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GU_004",,
"GU_004b","Overflowing Garden",,"Green",,"Generator","Vitality","0","<center>(Generators are not assets or effects. You may only play ~ whenever you have the option to hire generator instead of hiring any other card as a generator.)</center><p>[T]: Add [G].</p><p><u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Your commander gains <u>X</u> (X is the number of cards named ~ on the battlefield) loyalty.</p>",,,,,,,,50,50,#NAME?,"Green",#NAME?,#NAME?,"[i]Generator[/i]","RT_GU_004b",,
"GU_005","Construction Drone","2G",#NAME?,"Melee","Asset","Drone Technician","5","<center><u>Armor 3</u> (Damage dealt to ~ by any source is reduced by 3. Whenever damage is reduced this way ~ loses that much armor.)</center><p><u>Once</u> (As you activate this effect, remove it from this card): search your deck for a vitality ([G]) card, you may hire it as a generator, then shuffle your deck.</p>","Many robotic devices assist in the construction process.",1,3,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_005",,
"GU_006","exaLink Defense Drone","2G",#NAME?,"Melee","Asset","Drone Guard","5","~ enters the battlefield with your choice of <u>armor 3</u> (Damage dealt to ~ by any source is reduced by 3. Whenever damage is reduced this way ~ loses that much armor.) or <u>shield</u> (Prevent the next instance of damage ~ would receive. Once damage has been prevented this way, ~ loses Shield.)",,4,6,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_006",,
"GU_007","Medical Storehouse","GG",#NAME?,"Melee","Gen. Asset","Building","5","<center>(You may play ~ whenever you have the option to hire a generator, instead of hiring any other card as a generator, or you may deploy it as an asset.)<br/><u>Barricade</u> (~ can't attack; however, intercepting doesn't utilize it.), <u>Armor 2</u></center><p>[T], [X][G] (X is the number of times this effect has been activated.): Your commander gains [X] loyalty. This effect may be activated by any player.</p>","The logistics of storage and distribution are the cornerstones of civilization.",0,2,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Gen. Asset[/i]","RT_GU_007",,
"GU_008","Lunar Garden","1G",#NAME?,,"Asset","Building","5","<p>When ~ enters the battlefield, choose an energy type a generator you control could produce, then attach it to a generator.</p><p>The attached generator can be utilized for the chosen energy type.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_008",,
"GC_001","Warehouse Guard","1G",#NAME?,"Ranged","Asset","Human Civilian Guard","1",,,4,4,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_001",,
"GC_002","Generator Guard","2G",#NAME?,"Melee","Asset","drone Guard","3","<center><u>Armor 3</u> (Damage dealt to them by any source is reduced by 3. Whenever damage is reduced this way ~ loses that much armor.)</center><p>Generators you control have <u>unbreakable</u> (They can't be forfeited.)</p>",,2,3,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_002",,
"GC_003","Resource Reclamation","1G",#NAME?,,"Effect",,"2","<center>Choose a generator; return it to its owner's hand.</center>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GC_003",,
"GC_004","Tree Planter","G",#NAME?,"Melee","Asset","Squirrel","1","<center>[T]: Add [G].</center>","""When a squirrel buries its acorns for the winter, it often forgets about a few. Those buried acorns then grow into massive trees which drop acorns for future squirrels to forget about.""",1,1,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_004",,
"GC_005","School Girl","G",#NAME?,"Melee","Asset","Human Female Civilian Student","1",,,1,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_005",,
"GC_006","Security Guard","1G",#NAME?,"Ranged","Asset","Human Guard","1",,,3,5,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_006",,
"GC_007","Farmer","G",#NAME?,"Melee","Asset","Human Civilian Farmer","3","<u>Twice</u> (As you activate this effect for the second time, remove it from this card): Add 1 energy of any type to your bank.",,1,1,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_007",,
"GC_008","Trained First Aid Personnel","1GG",#NAME?,"Ranged","Asset","Human Civilian Medic","1","[T]: Choose a combatant; <u>Heal it 3</u> (If the specified asset has attack power or health reductions, reduce them by 3 [reducing permanent reductions first]. Otherwise remove 3 damage from it.)","""",1,5,,,,,40,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_008",,
"GC_009","Public Relations Expert","1G",#NAME?,"Melee","Asset","Human Civilian Propagandist","1","<center>When ~ enters the battlefield, your commander gains 6 loyalty.</center>",,1,1,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_009",,
"GC_010","Venerated Elder","G",#NAME?,"Melee","Asset","Human Civilian","1","<center><u>Sluggish</u> (The specified asset deals combat damage after assets without sluggish.)</center><p>When ~ dies, each player draws a card.</p>",,1,1,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_010",,
"GC_011","Medical Expenses","2G",#NAME?,,"Effect","Tax","4","<center><u>Tax</u> (When ~ resolves, if it is not a copy, copy it for each other card and effect on the stack.)</center><p>Your commander gains 4 loyalty.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GC_011",,
"GC_012","GC_012",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_GC_012",,
"G_CMDR_2","Capt. Stonewall, PMC Commander","2GGG",#NAME?,"Ranged","Commander","Human Male Mercenary Leader","7","<center>(Becomes <i>'Grant a Promotion'</i> if you already control ~.)</center><p><b><i>As Commander</i> --</b> Whenever an asset enters the battlefield under your control, you may pay [G]. If you do, it permanently gains <u>armor X</u> (X is 1/4 the number of generators you control, rounded up.)</p><p><b><i>As Asset</i> --</b> <u>Armor 5</u></p><p>[G], [T]: Choose a combatant; its armor or armor is repaired to its original maximum.</p>",,5,10,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_G_CMDR_2",,
"G_CMDR_2b","Grant a Promotion","2G",#NAME?,,"R. Effect","<u>Personal</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose an asset; it permanently gets +3/+0 and <u>armor 3</u> (Damage dealt to the specified asset by any source is reduced by 3. Whenever damage is reduced this way ~ loses that much armor.)</p><p><u>Personal</u> (Shuffle <i>'Capt. Stonewall, PMC Commander'</i> into your deck.)</p>",,,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_G_CMDR_2b",,
"GR_005","Daring Recruit","2G",#NAME?,"Melee","Asset","Augmented Mercenary ","9","<center><u>Sluggish</u> (The specified asset deals combat damage after assets without sluggish.)</center><p>Whenever a combatant enters the battlefield, ~ may <u>challenge</u> (The challenged asset must intercept its challenger the next time it's challenger attacks, if able.) that asset.</p>",,4,5,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GR_005",,
"GR_006","Welcoming Veteran","1G",#NAME?,"Formation","Asset","Human Mercenary ","9","<center><u>Armor 2</u> (Damage dealt to ~ by any source is reduced by 2. Whenever damage is reduced this way ~ loses that much armor.), <u>Formation</u></center><p>Whenever you hire a card as a generator, add 1 energy of any type a generator you control could produce to your energy bank.</p>",,1,2,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GR_006",,
"GR_007","Aircraft Carrier","4GGGG",#NAME?,"Ranged","Asset","<u>Vehicle</u> Boat","10","<center><u>Armor 16</u> (Damage dealt to ~ by any source is reduced by 16. Whenever damage is reduced this way ~ loses that much armor.)</center><p>Each time ~ has attacked twice, create a <u>transient</u> (If it would enter a discard, instead remove it from the game.) <i>'Fighter Jet'</i> on the battlefield.</p>",,4,4,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GR_007",,
"GR_008","GR_008",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_GR_008",,
"GU_009","Battlefield Promotion","1G",#NAME?,,"Effect","<u>Response</u> Mercenary ","5","Choose an asset; it permanently gets +2/+0 and <u>armor 2</u> (Damage dealt to the chosen asset by any source is reduced by 2. Whenever damage is reduced this way ~ loses that much armor.)",,,,,,,,40,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GU_009",,
"GU_010","Equipment Upgrades","2G",#NAME?,,"Effect",,"6","<p>Choose an asset; its armor is repaired to its original maximum and then doubled.</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GU_010",,
"GU_011","Duel in the Barracks","1G",#NAME?,,"Effect","Mercenary","5","Choose a combatant you control; it <u>challenges</u> (The challenged asset must intercept its challenger the next time it's challenger attacks, if able.) an asset of your choice you don't control.",,,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GU_011",,
"GU_012","Hunker Down and Wait for Reinforcements","XXG",#NAME?,,"R. Effect","Trap <u>Response</u>","5","<p>If an opponent deployed a non-combatant card this turn, ~ costs [4] less.</p><p>Combatants you control gain <u>armor [X]</u> (Damage dealt to them by any source is reduced by X. Whenever damage is reduced this way ~ loses that much armor.) If [X] is [4] or more you may put an asset from your hand onto the battlefield and refill the ammo of all of your guns.</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_GU_012",,
"GU_013","Cyber Tank","3GG",#NAME?,"Formation","Asset","<u>Vehicle</u> Tank","5","<center><u>Armor 5</u>, <u>Formation - Attack Front 5, Back 7</u> (Cards with Formation have their ranged status determined by their place in their formation; a formation consists of a mandatory melee card at the front and up to 2 ranged cards at the back. The attack power of the formation is the sum of all combatants in the formation. Combat damage is dealt to the front combatant before the back combatants. Formations can only be formed anytime you could reorganize units.) <u>Vehicle</u></center>","""Musk really hit it out of the park with this one"" <p>-- ?</p>","*",8,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_013",,
"GU_014","Strike Team Leader","2G",#NAME?,"Formation","Asset","Human Mercenary ","5","<center><u>Formation - Attack Front 3, Back 2</u> (Cards with Formation have their ranged status determined by their place in their formation; a formation consists of a mandatory melee card at the front and up to 2 ranged cards at the back. The attack power of the formation is the sum of all combatants in the formation. Combat damage is dealt to the front combatant before the back combatants. Formations can only be formed anytime you could reorganize units.)</center>",,"*",6,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_014",,
"GU_015","Practiced Disarmament","1G",#NAME?,,"Effect",,"5","Choose an asset attached to a combatant;its owner <u>forfeits</u> (Put the specified card into its owner's discard pile.) it.",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_GU_015",,
"GU_016","Supplyman","1G",#NAME?,"Melee","Asset","Human Mercenary","5","<center><u>Armed -- <i>'Ballistic Pistol'</i></u> (~ enters the battlefield with a transient <i>'Ballistic Pistol'</i> attached to it.)</center><p>When ~ enters the battlefield choose a gun; refill all of its ammo.</p>",,1,3,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GU_016",,
"GC_013","PMC Recruit","1G",#NAME?,"Melee","Asset","Human Mercenary Recruit","1","<center><u>Armor 4</u> (Damage dealt to ~ by any source is reduced by 4. Whenever damage is reduced this way ~ loses that much armor.)</center>",,3,1,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_013",,
"GC_014","Adrenaline","G",#NAME?,,"Asset","Drug","1","<center><u>Exchange [G]</u> (Pay [G], Discard ~ from your hand: Draw a card.)</center><p>[T], <u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Choose an asset; until end of turn, it gets +4/+4.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_014",,
"GC_015","Sister in Arms","2G",#NAME?,"Melee","Asset","Human Female Mercenary ","2","<i>Strength in Numbers</i> -- Whenever ~ attacks, choose another combatant, that combatant attacks with ~. Until end of turn, that asset gets +2/+0.",,3,6,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_015",,
"GC_016","Survivalist","2G",#NAME?,"Melee","Asset","Human Survivalist","4","<center><u>Challenge</u> (Whenever ~ attacks, choose another combatant to intercept it, if able.)</center>",,3,6,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_016",,
"GC_017","Anti-Orbital Cannon","3G",#NAME?,"Ranged","Asset","<u>Vehicle</u>","2","<center><u>Vehicle</u> (When ~ enters the battlefield, you may choose another asset to attach it to. The combined unit has all effects of both assets, and the highest attack power, health, and ranged status of the two.), <u>Anti-Orbital</u> (~ can intercept assets with spacecraft.)</center>",,7,8,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_GC_017",,
